rank,trackId,trackName,artistName,albumId,albumName,genres,popularity,tempo,energy,danceability,loudness,speechiness,instrumentalness,duration_ms,valence,explicit,duration_m,topGenre
1,3aQem4jVGdhtg116TmJnHz,What’s Next,Drake,5LuoozUhs2pl3glZeAJl89,Scary Hours 2,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",89,129.895,0.594,0.781,-6.959,0.0485,0.0,178153,0.0628,True,3.0,rap
2,65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),Drake,5LuoozUhs2pl3glZeAJl89,Scary Hours 2,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",88,136.006,0.449,0.578,-6.349,0.286,2.17e-06,192956,0.1,True,3.0,rap
3,7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,66FPnVL9G4CMKy3wvaGTcr,drivers license,"['pop', 'post-teen pop']",100,143.874,0.436,0.585,-8.761,0.0601,1.31e-05,242013,0.132,True,4.0,pop
4,6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis,00wSTrFxoSzA7eeS1UxHgd,Sin Miedo (del Amor y Otros Demonios) ∞,"['colombian pop', 'pop']",93,83.97,0.524,0.653,-9.016,0.0502,0.0,160191,0.553,False,3.0,pop
5,5Kskr9LcNYa0tpt5f0ZEJx,Calling My Phone,Lil Tjay,1QhKOq11hGEoNA42rV2IHp,Calling My Phone,"['brooklyn drill', 'melodic rap', 'nyc rap']",94,104.949,0.393,0.907,-7.636,0.0539,1.35e-06,205458,0.202,True,3.0,rap
6,1M4OcYkxAtu3ErzSgDEfoi,Up,Cardi B,0Fe4Uj7GkgA1uDGGk8s92C,Up (Instrumental),"['dance pop', 'pop', 'pop rap', 'rap']",80,166.0,0.795,0.868,-6.044,0.269,0.0193,156944,0.819,True,3.0,pop
7,60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,1MmVkhiwTH0BkNOU3nw5d3,Hot Pink,"['dance pop', 'pop']",93,90.028,0.463,0.749,-8.433,0.0828,0.0371,226986,0.19,True,4.0,pop
8,7MAibcTli4IisCtbHKrGMh,Leave The Door Open,Bruno Mars,7dfPqXck6BB9wpThrVYBss,Leave The Door Open,['pop'],89,148.088,0.616,0.586,-7.964,0.0324,0.0,242096,0.719,False,4.0,pop
9,3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,781cKhbTPwLnPmo9BALQl7,Good Days,"['pop', 'pop rap']",93,121.002,0.655,0.436,-8.37,0.0583,8.1e-06,279204,0.412,True,5.0,pop
10,5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,4yP0hdKOZPNshxUOjY0cZj,After Hours,"['canadian contemporary r&b', 'canadian pop', 'pop']",97,118.051,0.826,0.68,-5.487,0.0309,1.24e-05,215626,0.644,True,4.0,pop
11,3VT8hOC5vuDXBsHrR53WFh,Astronaut In The Ocean,Masked Wolf,57UjGWNfxfsBCykDm73XBK,Astronaut In The Ocean,['australian hip hop'],70,149.996,0.695,0.778,-6.865,0.0913,0.0,132780,0.472,False,2.0,hip hop
12,3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,1zHR48K6XtWYm6bhrw4J6C,TAKE TIME,"['alternative r&b', 'pop']",91,89.087,0.465,0.449,-8.964,0.0791,1.02e-06,198370,0.543,False,3.0,r&b
13,7FGdjbZ32vMybPuP0IuE7d,Back In Blood (feat. Lil Durk),Pooh Shiesty,2UwJ4Nt10VStLczYefhcEV,Shiesty Season,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",76,146.933,0.538,0.759,-8.256,0.384,0.0,184489,0.831,True,3.0,hip hop
14,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,4yP0hdKOZPNshxUOjY0cZj,After Hours,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,171.005,0.73,0.514,-5.934,0.0598,9.54e-05,200040,0.334,False,3.0,pop
15,5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Dua Lipa,5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,"['dance pop', 'pop', 'pop dance', 'uk pop']",85,102.977,0.825,0.702,-3.787,0.0601,0.0,203064,0.915,False,3.0,pop
16,2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),Saweetie,28Yv9BE6ZI6dccK0sxbEq4,Best Friend (feat. Doja Cat),"['cali rap', 'dance pop', 'pop', 'pop rap', 'post-teen pop', 'trap queen']",89,94.018,0.766,0.84,-4.12,0.136,3.61e-06,155883,0.402,True,3.0,pop
17,3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),24kGoldn,4YMnOf4a7obOcN1Gy2QEuM,Mood (feat. iann dior),['cali rap'],95,90.989,0.722,0.7,-3.558,0.0369,0.0,140525,0.756,True,2.0,rap
18,02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,0KTj6k94XZh0c6IEMfxeWV,Dreamland (+ Bonus Levels),"['gauze pop', 'indietronica', 'shiver pop']",83,80.87,0.525,0.761,-6.9,0.0944,6.7e-06,238805,0.531,False,4.0,pop
19,4FRW5Nza1Ym91BGV4nFWXI,Lemon Pepper Freestyle (feat. Rick Ross),Drake,5LuoozUhs2pl3glZeAJl89,Scary Hours 2,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",85,94.966,0.637,0.77,-5.53,0.345,0.0,383036,0.431,True,6.0,rap
20,4MzXwWMhyBbmu6hOcLVD49,DÁKITI,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,"['latin', 'reggaeton', 'trap latino']",90,109.928,0.573,0.731,-10.059,0.0544,5.22e-05,205090,0.145,True,3.0,rap
21,27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,The Kid LAROI,3YjfdLdpQcVI72uKhooZst,F*CK LOVE (SAVAGE),['australian hip hop'],94,93.005,0.413,0.662,-7.357,0.0299,0.0,161384,0.467,True,3.0,hip hop
22,1t9WgS8FN0534tLBRwbaxO,Whoopty,CJ,0kHRftVXaiRHgQdtviml0G,Loyalty Over Royalty,[],82,140.201,0.648,0.719,-7.6,0.125,0.0,123262,0.66,True,2.0,other
23,4u4NyuceXP7Uzh7XFJKCr1,Hold On,Justin Bieber,1btu3XEwHsImFreF8dVV6J,Hold On,"['canadian pop', 'pop', 'post-teen pop']",88,139.98,0.634,0.658,-5.797,0.0413,0.0,170813,0.29,False,3.0,pop
24,7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2vGU0DOcfsDee0euvhl1iZ,B4 The Storm,"['pop rap', 'rap', 'trap']",86,140.042,0.658,0.8,-6.142,0.079,0.0,195428,0.462,True,3.0,rap
25,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,7e7t0MCrNDcJZsPwUKjmOc,Shoot For The Stars Aim For The Moon,['brooklyn drill'],91,83.995,0.548,0.709,-8.493,0.353,1.59e-06,160000,0.543,True,3.0,other
26,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,4xkM0BwLM9H2IUcbYzpcBI,I Love You.,"['modern alternative rock', 'modern rock', 'pop']",89,124.053,0.807,0.612,-2.81,0.0336,0.0177,240400,0.398,False,4.0,rock
27,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),Cardi B,2ogiazbrNEx0kQHGl5ZBTQ,WAP (feat. Megan Thee Stallion),"['dance pop', 'pop', 'pop rap', 'rap']",90,133.073,0.454,0.935,-7.509,0.375,0.0,187541,0.357,True,3.0,pop
28,0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,7e7t0MCrNDcJZsPwUKjmOc,Shoot For The Stars Aim For The Moon,['brooklyn drill'],89,125.971,0.586,0.823,-6.606,0.2,0.0,190476,0.347,True,3.0,other
29,6Im9k8u9iIzKMrmV7BWtlF,34+35,Ariana Grande,3euz4vS7ezKGnNSwgyvKcd,Positions,"['dance pop', 'pop', 'post-teen pop']",92,109.978,0.585,0.83,-6.476,0.094,0.0,173710,0.485,True,3.0,pop
30,7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),DaBaby,623PL2MBg50Br5dLXC9E9e,BLAME IT ON BABY,"['north carolina hip hop', 'rap']",90,89.977,0.69,0.746,-7.956,0.164,0.0,181733,0.497,True,3.0,hip hop
31,2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),Drake,0qGdc7fNq9RNIPEzZufa43,Laugh Now Cry Later (feat. Lil Durk),"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",88,133.976,0.518,0.761,-8.871,0.134,3.47e-05,261492,0.522,True,4.0,rap
32,4Iedi94TIaB2GGb1nMB68v,On Me,Lil Baby,25gJpQKgXxT5CrMitr0DQO,On Me,"['atl hip hop', 'atl trap', 'rap', 'trap']",84,77.972,0.564,0.856,-6.295,0.392,0.0,135959,0.483,True,2.0,rap
33,2U5WueTLIK5WJLD7mvDODv,Wishing Well,Juice WRLD,6n9DKpOxwifT5hOXtgLZSL,Legends Never Die,"['chicago rap', 'melodic rap']",87,149.972,0.613,0.65,-6.13,0.128,0.0,194621,0.0804,True,3.0,rap
34,4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,Juice WRLD,6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,"['chicago rap', 'melodic rap']",86,161.989,0.529,0.671,-7.226,0.307,0.000335,165819,0.203,True,3.0,rap
35,35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,3euz4vS7ezKGnNSwgyvKcd,Positions,"['dance pop', 'pop', 'post-teen pop']",93,144.015,0.802,0.737,-4.771,0.0878,0.0,172324,0.682,True,3.0,pop
36,6toQdWWc4noiOk3Eo5mVDS,Beat Box 3 (feat. DaBaby),SpotemGottem,6QqwWNpKYbROin3Gq5pIrV,Beat Box 3 (feat. DaBaby),['florida rap'],79,160.051,0.426,0.853,-6.812,0.374,0.0,200424,0.201,True,3.0,rap
37,7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear),Machine Gun Kelly,57lgFncHBYu5E3igZnuCJK,Tickets To My Downfall,"['ohio hip hop', 'pop rap']",86,124.939,0.675,0.731,-5.134,0.0434,0.0,139460,0.298,True,2.0,hip hop
38,1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,Polo G,39xhYyNNDatQtgKw2KdXMz,THE GOAT,['chicago rap'],86,93.924,0.534,0.832,-7.813,0.253,0.0,132832,0.116,True,2.0,rap
39,45kgqMRkC29qjBlzeaJcad,Street Runner,Rod Wave,1aYz6lWTYHwEz9sfA1Cvrw,Street Runner,['florida rap'],69,160.004,0.61,0.613,-8.633,0.246,0.000361,252021,0.433,True,4.0,rap
40,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,"['chicago rap', 'melodic rap']",88,83.903,0.566,0.511,-7.23,0.2,0.0,239835,0.218,True,4.0,rap
41,54bFM56PmE4YLRnqpW6Tha,Therefore I Am,Billie Eilish,5G58VVE9ub1KE01Mvbd8XM,Therefore I Am,"['electropop', 'pop']",91,94.009,0.34,0.889,-7.773,0.0697,0.13,174321,0.716,False,3.0,pop
42,2Y0wPrPQBrGhoLn14xRYCG,Come & Go (with Marshmello),Juice WRLD,6n9DKpOxwifT5hOXtgLZSL,Legends Never Die,"['chicago rap', 'melodic rap']",85,144.991,0.814,0.625,-5.181,0.0657,0.0,205484,0.535,True,3.0,rap
43,5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,Travis Scott,3SdFuYwyWoq7kuaHdTDcyD,Goosebumps (Remix),"['rap', 'slap house']",90,124.917,0.593,0.841,-7.846,0.0379,0.0,162802,0.808,True,3.0,edm
44,45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,1RWiRfdNZKDe8VXzzf2VEc,you broke me first,"['dance pop', 'electropop', 'pop', 'post-teen pop']",92,124.148,0.373,0.667,-9.389,0.05,0.0,169265,0.0823,False,3.0,pop
45,3FxPbp05KjMBa4HbhAJTH0,SugarCrash!,ElyOtto,0ONcqjwwNqJJgaPmQ7nC4y,SugarCrash!,[],88,97.735,0.74,0.745,-6.558,0.097,7.37e-05,80117,0.36,True,1.0,other
46,0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,"['dfw rap', 'melodic rap', 'rap']",82,89.96,0.522,0.755,-4.368,0.0575,0.0,157560,0.925,False,3.0,rap
47,1diS6nkxMQc3wwC4G1j0bh,We're Good,Dua Lipa,0JeyP8r2hBxYIoxXv11XiX,Future Nostalgia (The Moonlight Edition),"['dance pop', 'pop', 'pop dance', 'uk pop']",88,134.01,0.588,0.722,-5.932,0.0544,0.0,165506,0.59,False,3.0,pop
48,2Lhdl74nwwVGOE2Gv35QuK,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,4Ug3M4a8wAEebndVIF65fX,The Papercut Chronicles,"['dance pop', 'pop rap']",79,78.953,0.744,0.72,-6.938,0.12,0.0,243773,0.619,False,4.0,pop
49,21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,"['dfw rap', 'melodic rap', 'rap']",88,120.042,0.762,0.695,-3.497,0.0395,0.00244,215280,0.553,False,4.0,rap
50,3cBsEDNhFI9E82vPj3kvi3,Wasted On You,Morgan Wallen,6JlCkqkqobGirPsaleJpFr,Dangerous: The Double Album,"['contemporary country', 'deep talent show']",82,196.0,0.657,0.505,-5.24,0.0318,0.00107,178520,0.252,False,3.0,country
